PROKKA_02123	Oxidative stress response
PROKKA_00361	Oxidative stress response
PROKKA_01356	Oxidative stress response
PROKKA_00293	Oxidative stress response
PROKKA_00852	Oxidative stress response
PROKKA_00318	Oxidative stress response
PROKKA_02417	Oxidative stress response
PROKKA_00473	Oxidative stress response
PROKKA_00823	Oxidative stress response
PROKKA_00183	Chemotaxis
PROKKA_00227	Chemotaxis
PROKKA_01445	Chemotaxis
PROKKA_01455	Chemotaxis
PROKKA_01548	Chemotaxis
PROKKA_01731	Chemotaxis
PROKKA_02147	Chemotaxis
PROKKA_00229	Chemotaxis
PROKKA_00230	Chemotaxis
PROKKA_00710	Chemotaxis
PROKKA_00225	Chemotaxis
PROKKA_00226	Chemotaxis
PROKKA_00223	Chemotaxis
PROKKA_00799	Chemotaxis
PROKKA_00228	Chemotaxis
PROKKA_00224	Chemotaxis
PROKKA_02318	Chemotaxis
PROKKA_00196	Motility
PROKKA_00197	Motility
PROKKA_00198	Motility
PROKKA_00199	Motility
PROKKA_00200	Motility
PROKKA_00201	Motility
PROKKA_00202	Motility
PROKKA_00203	Motility
PROKKA_00204	Motility
PROKKA_00205	Motility
PROKKA_00206	Motility
PROKKA_00207	Motility
PROKKA_00209	Motility
PROKKA_00210	Motility
PROKKA_00211	Motility
PROKKA_00212	Motility
PROKKA_00213	Motility
PROKKA_00214	Motility
PROKKA_00215	Motility
PROKKA_00216	Motility
PROKKA_00217	Motility
PROKKA_00218	Motility
PROKKA_00219	Motility
PROKKA_00220	Motility
PROKKA_00221	Motility
PROKKA_00222	Motility
PROKKA_02334	Motility
PROKKA_02335	Motility
PROKKA_02336	Motility
PROKKA_02337	Motility
PROKKA_02338	Motility
PROKKA_02339	Motility
PROKKA_02340	Motility
PROKKA_02341	Motility
PROKKA_02342	Motility
PROKKA_02343	Motility
PROKKA_02344	Motility
PROKKA_02345	Motility
PROKKA_02346	Motility
PROKKA_02347	Motility
PROKKA_02348	Motility
PROKKA_02349	Motility
PROKKA_00514	Quorum sensing
PROKKA_00515	Quorum sensing
PROKKA_00516	Quorum sensing
PROKKA_00517	Quorum sensing
PROKKA_00133	Quorum sensing
PROKKA_00589	Quorum sensing
PROKKA_01215	Quorum sensing
PROKKA_01241	Quorum sensing
PROKKA_00034	c-di-GMP specific phosphodiestereases (EAL domain-containing proteins)
PROKKA_00314	c-di-GMP specific phosphodiestereases (EAL domain-containing proteins)
PROKKA_00089	Genes encoding proteins with EAL and GGDEF domains
PROKKA_00405	Genes encoding proteins with EAL and GGDEF domains
PROKKA_00479	Genes encoding proteins with EAL and GGDEF domains
PROKKA_00493	Genes encoding proteins with EAL and GGDEF domains
PROKKA_00663	Genes encoding proteins with EAL and GGDEF domains
PROKKA_00709	Genes encoding proteins with EAL and GGDEF domains
PROKKA_01908	Genes encoding proteins with EAL and GGDEF domains
PROKKA_00968	Genes encoding proteins with EAL and GGDEF domains
PROKKA_01006	Genes encoding proteins with EAL and GGDEF domains
PROKKA_01595	Genes encoding proteins with EAL and GGDEF domains
PROKKA_00174	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00501	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00511	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00714	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_01061	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_02076	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00503	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00504	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00562	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00858	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_01493	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_01845	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_02591	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00306	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_01577	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00510	Putative diguanylate cyclases (GGDEF domain-containing proteins)
PROKKA_00568	c-di-GMP effector proteins; Extracellular polysaccharide production and export
PROKKA_00573	c-di-GMP effector proteins; Extracellular polysaccharide production and export
PROKKA_02308	c-di-GMP effector proteins; Cellulose production
PROKKA_00736	Cellulose production
PROKKA_00738	Cellulose production
PROKKA_00739	Cellulose production
PROKKA_02306	Cellulose production
PROKKA_02307	Cellulose production
PROKKA_02310	Cellulose production
PROKKA_02311	Cellulose production
PROKKA_01242	putative pel operon
PROKKA_01243	putative pel operon
PROKKA_01244	putative pel operon
PROKKA_01245	putative pel operon
PROKKA_01246	putative pel operon
PROKKA_01247	putative pel operon
PROKKA_01248	putative pel operon
PROKKA_01249	putative pel operon
PROKKA_01250	putative pel operon
PROKKA_00080	Lipopolysaccharide synthesis
PROKKA_00081	Lipopolysaccharide synthesis
PROKKA_01292	Lipopolysaccharide synthesis
PROKKA_01293	Lipopolysaccharide synthesis
PROKKA_01294	Lipopolysaccharide synthesis
PROKKA_01297	Lipopolysaccharide synthesis
PROKKA_01299	Lipopolysaccharide synthesis
PROKKA_01300	Lipopolysaccharide synthesis
PROKKA_01301	Lipopolysaccharide synthesis
PROKKA_01302	Lipopolysaccharide synthesis
PROKKA_01303	Lipopolysaccharide synthesis
PROKKA_01304	Lipopolysaccharide synthesis
PROKKA_01305	Lipopolysaccharide synthesis
PROKKA_01306	Lipopolysaccharide synthesis
PROKKA_01307	Lipopolysaccharide synthesis
PROKKA_01298	Lipopolysaccharide synthesis
PROKKA_01308	Lipopolysaccharide synthesis
PROKKA_01310	Lipopolysaccharide synthesis
PROKKA_01311	Lipopolysaccharide synthesis
PROKKA_01312	Lipopolysaccharide synthesis
PROKKA_01314	Lipopolysaccharide synthesis
PROKKA_01315	Lipopolysaccharide synthesis
PROKKA_01316	Lipopolysaccharide synthesis
PROKKA_01317	Lipopolysaccharide synthesis
PROKKA_01323	Lipopolysaccharide synthesis
PROKKA_01328	Lipopolysaccharide synthesis
PROKKA_01329	Lipopolysaccharide synthesis
PROKKA_01330	Lipopolysaccharide synthesis
PROKKA_01331	Lipopolysaccharide synthesis
PROKKA_01345	Lipopolysaccharide synthesis
PROKKA_01346	Lipopolysaccharide synthesis
PROKKA_01629	Lipopolysaccharide synthesis
PROKKA_01631	Lipopolysaccharide synthesis
PROKKA_01632	Lipopolysaccharide synthesis
PROKKA_01633	Lipopolysaccharide synthesis
PROKKA_01634	Lipopolysaccharide synthesis
PROKKA_01635	Lipopolysaccharide synthesis
PROKKA_01721	Lipopolysaccharide synthesis
PROKKA_01782	Lipopolysaccharide synthesis
PROKKA_01783	Lipopolysaccharide synthesis
