"","locus_tag","gene"
"217","LFT_00909","lptA"
"218","LFT_00910","lptB"
"219","LFT_00911","rpoN"
"220","LFT_00915","aroC"
"221","LFT_00923","queF"
"222","LFT_00930","cpoB"
"223","LFT_00931","mutL"
"224","LFT_00932","miaA"
"225","LFT_00934","mtnP"
"226","LFT_00958","clpC"
"227","LFT_00961","argS"
"228","LFT_00962","tgt"
"229","LFT_00967","recJ"
"230","LFT_00968","relA"
"231","LFT_00978","hrcA"
"232","LFT_00979","grpE"
"233","LFT_00986","cobT"
"234","LFT_00987","cobS"
"235","LFT_01125","pilT"
"236","LFT_01140","cas3"
"237","LFT_01144","casC"
"238","LFT_01162","merC"
"239","LFT_01168","nifH"
"240","LFT_01175","nifB"
"241","LFT_01176","yfhL"
"242","LFT_01177","iscA"
"243","LFT_01198","modB"
"244","LFT_01201","mog"
"245","LFT_01202","moaC"
"246","LFT_01203","moeA"
"247","LFT_01210","nasA"
"248","LFT_01232","hisC"
"249","LFT_01265","hipA"
"250","LFT_01301","bamA"
"251","LFT_01303","lpxD"
"252","LFT_01304","fabZ"
"253","LFT_01308","lpxB"
"254","LFT_01310","msbA"
"255","LFT_01312","lpxK"
"256","LFT_01332","bioA"
"257","LFT_01335","yacL"
"258","LFT_01337","cysE"
"259","LFT_01342","ppm1"
"260","LFT_01344","purH"
"261","LFT_01345","purD"
"262","LFT_01348","rsmD"
"263","LFT_01349","coaD"
"264","LFT_01351","lolD"
"265","LFT_01352","lolC"
"266","LFT_01353","lysS"
"267","LFT_01354","mtnA"
"268","LFT_01356","hemH"
"269","LFT_01359","miaB"
"270","LFT_01367","hom"
"271","LFT_01370","lysC"
"272","LFT_01375","surE"
"273","LFT_01377","cysS"
"274","LFT_01380","nadE"
"275","LFT_01381","ribBA"
"276","LFT_01382","ribH"
"277","LFT_01383","nusB"
"278","LFT_01385","purB"
"279","LFT_01386","purC"
"280","LFT_01387","purS"
"281","LFT_01391","ackA"
"282","LFT_01398","ybhS"
"283","LFT_01404","fbaB"
"284","LFT_01423","yhaO"
"285","LFT_01446","bicA"
"286","LFT_01456","trpS"
"287","LFT_01457","accA"
"288","LFT_01458","dnaE"
"289","LFT_01468","nth"
"290","LFT_01470","lgt"
"291","LFT_01496","glgA"
"292","LFT_01504","purE"
"293","LFT_01505","purK"
"294","LFT_01525","dnaB"
"295","LFT_01526","hisZ"
"296","LFT_01527","serA"
"297","LFT_01529","oppA"
"298","LFT_01535","guaA_1"
"299","LFT_01538","tyrS"
"300","LFT_01541","ndk"
"301","LFT_01545","sfsA"
"302","LFT_01547","thiO"
"303","LFT_01551","pheA"
"304","LFT_01552","aroF"
"305","LFT_01553","tyrA"
"306","LFT_01555","cmk"
"307","LFT_01556","plsC"
"308","LFT_01560","folE"
"309","LFT_01561","folD"
"310","LFT_01563","panB"
"311","LFT_01565","xthA"
"312","LFT_01569","yhaM"
"313","LFT_01573","acyP"
"314","LFT_01575","fumC"
"315","LFT_01579","cobQ"
"316","LFT_01590","cbiL"
"317","LFT_01592","ribE"
"318","LFT_01593","ribD"
